Collection ID,Collection Name,Item Type,Item ID,Item Name,Item Slug,Partner Name,Part Of A Specialization,Part Of Specialization ID,Part Of Specialization Name,Course Deeplink,Duration,For-credit,Auto-enrollment,Start Date,End Date
,,COURSE,UltY05FkEe-KjBKlSS1PLQ,Digital Marketing Tools: Machine Learning and AI,digital-marketing-tools-machine-learning-and-ai,"University of Maryland, College Park",TRUE,Z9FiSJCzTxCQE9pKdXSlkA,Foundations of Digital Marketing,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=UltY05FkEe-KjBKlSS1PLQ&productType=course&showMiniModal=true&attemptSSOLogin=true,15,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,vkSrmqkoEeyxDg4ukgkVlw,Dataprep: Qwik Start,googlecloud-dataprep-qwik-start-sbgfs,Google Cloud,FALSE,,,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=vkSrmqkoEeyxDg4ukgkVlw&productType=course&showMiniModal=true&attemptSSOLogin=true,2,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,z53Io6KxEe-JqxLMjERgCQ,Data Analysis and Visualization with Python,microsoft-data-analysis-visualization-with-python,Microsoft,TRUE,73SfxEbZTkqRkJsZSElEww,Microsoft Python Development ,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=z53Io6KxEe-JqxLMjERgCQ&productType=course&showMiniModal=true&attemptSSOLogin=true,15,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,KUSCrfN6Ee--nhIUP1DqPQ,Pod Management with Kubernetes: Run containerized workloads,pod-management-with-kubernetes-run-containerized-workloads,Coursera Project Network,FALSE,,,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=KUSCrfN6Ee--nhIUP1DqPQ&productType=course&showMiniModal=true&attemptSSOLogin=true,5,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,01ZyqexTEeqvJAoWlWafpw,Optimize TensorFlow Models For Deployment with TensorRT,tensorflow-tensorrt,Coursera Project Network,FALSE,,,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=01ZyqexTEeqvJAoWlWafpw&productType=course&showMiniModal=true&attemptSSOLogin=true,1,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,NETqMKUREeqV0A5jsaDEow,Building an Ecosystem model with Insight Maker,ecosystem-insight-maker,Coursera Project Network,FALSE,,,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=NETqMKUREeqV0A5jsaDEow&productType=course&showMiniModal=true&attemptSSOLogin=true,1,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,TrVqFf2zEe-glg6vww23RQ,Security Command Center Enterprise 使用入门,getting-started-with-security-command-center-enterprise-zhcn,Google Cloud,FALSE,,,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=TrVqFf2zEe-glg6vww23RQ&productType=course&showMiniModal=true&attemptSSOLogin=true,7,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,FNlinV-kEe62wwrYx-2qTQ,Oracle SQL Performance Tuning,oracle-sql-performance,EDUCBA,FALSE,,,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=FNlinV-kEe62wwrYx-2qTQ&productType=course&showMiniModal=true&attemptSSOLogin=true,8,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,rXPV3qNSEe-M0A6J7VObuQ,Boost Productivity with Gemini in BigQuery - 简体中文,boost-productivity-with-gemini-in-bigquery-zh,Google Cloud,FALSE,,,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=rXPV3qNSEe-M0A6J7VObuQ&productType=course&showMiniModal=true&attemptSSOLogin=true,7,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
,,COURSE,xbgYoEluEe2zJA5jm2gmKQ,Analítica y ciencia de datos para negocios,analtica-y-ciencia-de-datos-para-negocio,Pontificia Universidad Católica del Perú,FALSE,,,https://www.coursera.org/programs/ltimindtree-learning-program-2024-f44st?productId=xbgYoEluEe2zJA5jm2gmKQ&productType=course&showMiniModal=true&attemptSSOLogin=true,14,FALSE,FALSE,ALWAYS_AVAILABLE,ALWAYS_AVAILABLE
