UniqueId,Id,Name,Description,Expertise,Academy,Genre,Skill,PackageIds,TopicsCovered,Duration,ContentCount,Internal,Vendor,Price,ELearning,ELearningDescription,ProjectWork,ProjectWorkDescription,OnlineQuiz,OnlineQuizDescription,ManagerApproval,Type,Classroom,ClassroomDescription,Assignment,AssignmentDescription,Assessment,AssessmentDescription,IsPreRequisiteMandatory,IsCloudLabAvailable,IsCertificateAvailable,Quiz,Proficiency,DegreedCourseLink,shoshin link
BF_172,10411,Domain-O-Bytes_CBDC ? An Emerging Trend,Domain-o-Byte Session on CBDC ? An Emerging Trend,101,Domain,Domain-O-Byte,Domain,,,01.00.00,1,TRUE,,,FALSE,,FALSE,,FALSE,,FALSE,Self-Paced,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,https://degreed.com/courses/?d=O9737WV1N8,https://shoshin.ltimindtree.com/detailsPage/Course/101/10411
BF_173,10412,Domain-O-Bytes_Overview of Banking book and Risk (Credit and capital) Session 2,Invite_Domain-o-byte || Overview of Banking book and Risk (Credit and capital) Session 2,101,Domain,Domain-O-Byte,Domain,,,01.00.00,1,TRUE,,,FALSE,,FALSE,,FALSE,,FALSE,Self-Paced,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,https://degreed.com/courses/?d=E9KKVJ0Q19,https://shoshin.ltimindtree.com/detailsPage/Course/101/10412
BF_174,10413,Domain-O-Bytes_Payments Switch Overview,Domain-o-byte session - Payments Switch Overview,101,Domain,Domain-O-Byte,Domain,,,01.00.00,1,TRUE,,,FALSE,,FALSE,,FALSE,,FALSE,Self-Paced,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,https://degreed.com/courses/?d=59YL72QZ48,https://shoshin.ltimindtree.com/detailsPage/Course/101/10413
BF_175,10414,Domain-O-Bytes_Corporate Lending and Supply Chain Finance,Corporate Lending and Supply Chain Finance,101,Domain,Domain-O-Byte,Domain,,,01.00.00,1,TRUE,,,FALSE,,FALSE,,FALSE,,FALSE,Self-Paced,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,https://degreed.com/courses/?d=7PVZN4OKE8,https://shoshin.ltimindtree.com/detailsPage/Course/101/10414
BF_176,10415,Domain-O-Bytes_Overview - Regulatory Reporting,Domain-o-Byte - Overview - Regulatory Reporting-20230306 1255-1 (1),101,Domain,Domain-O-Byte,Domain,,,01.00.00,1,TRUE,,,FALSE,,FALSE,,FALSE,,FALSE,Self-Paced,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,https://degreed.com/courses/?d=39ZRKG1JGP,https://shoshin.ltimindtree.com/detailsPage/Course/101/10415
BF_180,10419,Domain-O-Bytes_Introduction to Retail Banking,Domain-o-byte session - Introduction to Retail Banking,101,Domain,Domain-O-Byte,Domain,,,01.00.00,1,TRUE,,,FALSE,,FALSE,,FALSE,,FALSE,Self-Paced,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,https://degreed.com/courses/?d=V9R71DQ769,https://shoshin.ltimindtree.com/detailsPage/Course/101/10419
BF_213,10688,Site Decision Illuminator,This course provides understanding of Site Decision Illuminator and how effectively it manages clinical trials sites and primary investigator selection process  across its portfolio.,101,Domain,Life Sciences,Pharma Research & Development,,"""1. Business Objectives
2. Key Features and Solution
3. Business Value Achieved
4.Applications Deployed
5. Performance Testing
""",01.00.00,1,TRUE,YouTube,,FALSE,,FALSE,,FALSE,,FALSE,Self-Paced,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,https://degreed.com/courses/?d=39ZROOQ3XP,https://shoshin.ltimindtree.com/detailsPage/Course/101/10688
BF_278,11891,Integrating pricing and capacity decisions in car rental: A metaheuristic approach,"Integrating pricing and capacity decisions in car rental: A metaheuristic approach

Below is the learning material link for the course.

https://www.researchgate.net/publication/328114748_Integrating_pricing_and_capacity_decisions_in_car_rental_A_matheuristic_approach",101,Domain,Car,Car Rental,,Integrating pricing and capacity decisions in car rental: A metaheuristic approach,01.00.00,0,FALSE,YouTube,,FALSE,,FALSE,,FALSE,,FALSE,Self-Paced,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,FALSE,L4,https://degreed.com/courses/?d=JP1NZOLGJ9,https://shoshin.ltimindtree.com/detailsPage/Course/101/11891
BF_287,13219,Introduction to Hospitality-101,"Introduction to Hospitality-101

Below are the topics and learning material links for the course.

101 - Hotel PMS Course

1. https://www.youtube.com/watch?v=9uTlLP_GTfk

2. https://www.youtube.com/watch?v=jSqDKdENTXk

3. https://www.siteminder.com/r/hotel-pms-guide/",101,Domain,Hospitality,Hotel,,Introduction to Hospitality-101,01.00.00,0,FALSE,YouTube,,FALSE,,FALSE,,FALSE,,FALSE,External,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,FALSE,L1,https://degreed.com/courses/?d=E9KK1MJMO9,https://shoshin.ltimindtree.com/detailsPage/Course/101/13219
BF_291,13223,The Complete Guide to (Effective) Customer Analysis,"The Complete Guide to (Effective) Customer Analysis
 
Below is the learning material link for the course.

https://www.semrush.com/blog/complete-guide-to-customer-analysis/",101,Domain,Airline,Analytics,,The Complete Guide to (Effective) Customer Analysis,01.00.00,0,FALSE,YouTube,,FALSE,,FALSE,,FALSE,,FALSE,External,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,FALSE,L1,https://degreed.com/courses/?d=DP63NMVMMP,https://shoshin.ltimindtree.com/detailsPage/Course/101/13223
BF_292,13224,Customer analytics 101,"Customer analytics 101

Below is the learning material link for the course.

https://www.zendesk.com/in/blog/customer-analytics/#georedirect",101,Domain,Airline,Analytics,,Customer analytics 101,01.00.00,0,FALSE,YouTube,,FALSE,,FALSE,,FALSE,,FALSE,External,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,FALSE,L1,https://degreed.com/courses/?d=3PM1N3E3Z9,https://shoshin.ltimindtree.com/detailsPage/Course/101/13224
BF_295,13289,DCS Commissioning Steps,"DCS Commissioning Steps

Below are the learning material links for the course.

1. https://instrumentationtools.com/dcs-commissioning-steps/
2. https://dcs.aero/product-category/type/software/weight-and-balance
3. https://dcs.aero/product-category/type/software/departure-control-system-dcs/",101,Domain,Airline,Departure Control Systems,,DCS Commissioning Steps,01.00.00,0,FALSE,YouTube,,FALSE,,FALSE,,FALSE,,FALSE,External,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,FALSE,L3,https://degreed.com/courses/?d=DP63NMJOWP,https://shoshin.ltimindtree.com/detailsPage/Course/101/13289
BF_297,13291,PROS - Leading Platform for Revenue Management and Airline Dynamic Pricing,"PROS - Leading Platform for Revenue Management and Airline Dynamic Pricing

Below is the learning material link for the course.

https://pros.com/solutions/airline-revenue-management/",101,Domain,Airline,Airline,,PROS - Leading Platform for Revenue Management and Airline Dynamic Pricing,01.00.00,0,FALSE,YouTube,,FALSE,,FALSE,,FALSE,,FALSE,External,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,FALSE,L4,https://degreed.com/courses/?d=M904YL5D0P,https://shoshin.ltimindtree.com/detailsPage/Course/101/13291
BF_298,13292,Road Freight 101,"Road Freight 101

Below are the learning material links for the course.

1. https://dhl-freight-connections.com/en/business/road-freight-101-the-importance-and-future-of-road-transport/

2. https://blog.intekfreight-logistics.com/rail-logistics-services-what-to-know-and-how-to-get-most-value",101,Domain,Airline,Airline,,Road Freight 101,01.00.00,0,FALSE,YouTube,,FALSE,,FALSE,,FALSE,,FALSE,External,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,FALSE,L1,https://degreed.com/courses/?d=O84M1QVK79,https://shoshin.ltimindtree.com/detailsPage/Course/101/13292
BF_351,15321, Domain-O-Bytes_ Lending in Detail ( Loan Origination /Servicing /Collection),"In this session , You will learn about the overview of lending with the significance of retail and commercial lending in the banking industry.

1. Types of lending and lending products 
2. 4 C's of Lending ( Capacity , Capital , Character and Collateral ) 
3. Loan underwriting , Loan Processing , Loan closing and Loan Servicing.",101,Domain,Domain-O-Byte,Domain,,,01.00.00,1,TRUE,,,FALSE,,FALSE,,FALSE,,FALSE,Internal,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,FALSE,L1,https://degreed.com/courses/?d=JP1NZM03O9,https://shoshin.ltimindtree.com/detailsPage/Course/101/15321
BF_453,22774,Domain-O-Byte : Faster Payment Rails  A Game changer in the USA,"The Session Covers the emerging real-time payment rails - Zelle , RTP  and FedNow - How they are progressing and anticipated to unlock a massive wave of payments innovation over the next several years and consumer readiness demand.",101,Domain,Domain-O-Byte,Domain,,,01.00.00,1,TRUE,Internal,,FALSE,,FALSE,,FALSE,,FALSE,Internal,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,FALSE,L1,https://degreed.com/courses/?d=1PNDD63JQ9,https://shoshin.ltimindtree.com/detailsPage/Course/101/22774
BF_530,24023,Automotive supply chain planning and business outcomes,"Brief overview of Automotive supply chain planning, familiarize with the concept of end-to-end supply chain planning and the challenges faced by business. We will also look into Current market trends and shift towards digitalization, present some visualizations around supply chain data variety & volume for tech agnostic people. Get a flayer of supply chain operational KPI?s which are used to drive supply chain resilience. Also, Present couple of case studies where LTIM is solving these challenges with our customers. 

Topics covered
1. Automation of Supply Chain -Overview 2. Process view of Supply Chain  
3. Building Supply Chain  
4. Supply chain planning functions 
5. Supply Chain  Cost Drivers",101,Domain,Manufacturing,Supply Chain,,,01.00.00,1,TRUE,,,FALSE,,FALSE,,FALSE,,FALSE,Internal,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,FALSE,L1,https://degreed.com/courses/?d=39ZQYL7NJ9,https://shoshin.ltimindtree.com/detailsPage/Course/101/24023
BF_616,28088,Travel Management Company Overview,"This course provides overview of Travel Management Company (TMC) - a specialized organization that helps businesses manage their corporate travel needs.

Below are some key aspects of what TMCs do:
1. Booking and Reservations
2.  Expense Management
3. Policy Enforcement
4. Technology Integration
5. Cost negotiations",101,Domain,Airline,Aviation,,,01.00.00,1,TRUE,,,FALSE,,FALSE,,FALSE,,FALSE,Self-Paced,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,FALSE,L1,https://degreed.com/courses/?d=O84KY0MW2P,https://shoshin.ltimindtree.com/detailsPage/Course/101/28088
BU_001,22779,Thought Machine Vault Core Fundamentals Certification - Internal TM101,Thought Machine Vault Core Fundamentals Certification - Internal TM101,201,Business Transformation Products,Non Temenos,ThoughtMachine,,NA,01.00.00,0,FALSE,Internal,,FALSE,,FALSE,,FALSE,,FALSE,Internal,FALSE,,FALSE,,FALSE,,FALSE,FALSE,FALSE,TRUE,L1,https://degreed.com/courses/?d=7PVLLND0E9,https://shoshin.ltimindtree.com/detailsPage/Course/201/22779
BU_002,22780,Thought Machine Vault Core Fundamentals Certification - Internal TM102,Thought Machine Vault Core Fundamentals Certification - Internal TM102,201,Business Transformation Products,Non Temenos,ThoughtMachine,,NA,01.00.00,0,FALSE,Internal,,FALSE,,FALSE,,FALSE,,FALSE,Internal,FALSE,,FALSE,,FALSE,,FALSE,FALSE,FALSE,TRUE,L1,https://degreed.com/courses/?d=39ZQQK70G9,https://shoshin.ltimindtree.com/detailsPage/Course/201/22780
CI_115,23372,ServiceNow DevOps - Certified Implementation Specialist (CIS) - L2,"Note: Participants need to follow below given registration process to start accessing ServiceNow partner portal also they can reach out to ?Sher.Singh@ltimindtree.com / Qutbuddin.Dairkee@ltimindtree.com? to get them added to the Partner Portal. Once added, mentioned learning path and certification are free of cost.

**Partner Portal Registration Process:
1. How to Register on Partner Portal:-
https://partnerportal.service-now.com
Click on ?Already a ServiceNow Partner?-->? Option.  Register using your LTIM credentials.
Email should be- ?Firstname.Lastname@ltimindtree.com?

2. Select Account:- ?ACCT0010858 ? LTIM?
Select the India (Mumbai) based account [Company Name- LTIMINDTREE LIMITED, Country- India, Address- Select Mumbai Location (Pin- 400072)]. Post this, your request goes to admin for approval and then admin will approve.

3. How to see the Certification Path and register for certification path.
https://nowlearning.service-now.com/lxp
**How to Link Your Now Learning Account**
Email training@servicenow.com with the subject line of ?Link to Company Account ? ServiceNow ACCT0010858? to be linked to your company. Be sure to include the Name of company (LTIMindtree Ltd) and the account number (ACCT0010858) in either the subject or body of your email.
If you have an account from a previous company, please proceed with a new account using your new company email. After your new account is activated, you can request an account merge by emailing training@servicenow.com and including both email addresses.

**How to Migrate your account**
If your account is not migrated from lntinfotech.com or mindtree.com to ltimindtree.com, then pls drop an email to - Partnernow@servicenow.com. It will be resolved in one week?s time
For any other issue, please raise a ticket or drop an email with detailed explanation and screenshot to Partnernow@servicenow.com",101,C&I,Service Now,ServiceNow DevOps,,"Course Content:
*Certification Implementation Specialist (CIS) ? Third-party Risk Management (TPRM) Exam Study Guide.",01.00.00,1,TRUE,Servicenow,,FALSE,,FALSE,,FALSE,,FALSE,External,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,FALSE,L2,https://degreed.com/courses/?d=59YRE23268,https://shoshin.ltimindtree.com/detailsPage/Course/101/23372
